id,영업상태,상세주소,약국명,위도,경도
PHMH320173000034087500028,영업/정상,서울특별시 종로구 평창문화로 148 1층 (평창동 상경빌딩),씨유북악대로점,197812.270531856,456400.243878906
PHMH320123000034087500051,영업/정상,서울특별시 종로구 인왕산로1길 29-0 (사직동),세븐일레븐 종로사직점,196761.064478725,452365.174626348
PHMH320133000034087500011,영업/정상,서울특별시 종로구 숭인동길 70-13 (숭인동),세븐일레븐 종로 숭인점,201923.40606958,452887.220420862
PHMH320123000034087500007,영업/정상,서울특별시 종로구 지봉로 92 1층 (숭인동),GS25 창신역점,201304.223298708,452882.754347238
PHMH320123000034087500098,영업/정상,서울특별시 종로구 종로 324-1 (창신동),세븐일레븐동대문창신점,201151.200402403,452218.015689514
PHMH320203000034087500033,영업/정상,서울특별시 종로구 지봉로 102-2 1층 (숭인동),(주)코리아세븐 숭인창신점,201310.613073228,453007.174340193
PHMH320203000034087500034,영업/정상,서울특별시 종로구 청계천로 99 수표교빌딩 101호 (관철동),(주)코리아세븐 종로청계천본점,198928.776736747,451791.664335917
PHMH320203000034087500035,영업/정상,서울특별시 종로구 진흥로 484 1층 (신영동),지에스25 종로신영,196444.724457441,455869.049851389
PHMH320193000034087500028,영업/정상,서울특별시 종로구 삼청로 22 영정빌딩 1층 (사간동),세븐일레븐 경복궁점,198153.04455191,452851.204245035
PHMH320193000034087500029,영업/정상,서울특별시 종로구 새문안로5길 11 1층 (당주동),이마트24 종로당주점,197698.745044225,452100.51787896
PHMH320193000034087500030,영업/정상,서울특별시 종로구 삼일대로32길 54 메트로빌딩 1층 (익선동),이마트24 종로익선동점,199045.980067898,452577.661594793
PHMH320193000034087500031,영업/정상,서울특별시 종로구 종로62길 17 케이디오피스텔 1층 101호 (숭인동),세븐일레븐 동묘중앙점,201649.840328936,452323.368074798
PHMH320193000034087500035,영업/정상,서울특별시 종로구 새문안로5길 31 센터포인트광화문 103호 (도렴동),GS25 종로도렴점,197660.370711237,452306.635808312
PHMH320203000034087500001,영업/정상,서울특별시 종로구 비봉길 7 지하1층 (구기동 마운틴 뷰),씨유 북한산구기점,196068.647882438,456301.660405803
PHMH320193000034087500037,영업/정상,서울특별시 종로구 세검정로 230 1층 (홍지동),GS25 상명사랑점,196268.479696575,455316.074423675
PHMH320203000034087500037,영업/정상,서울특별시 종로구 사직로8길 34 경희궁의아침 3단지 1층 101102133호 (내수동),롯데씨브이에스711 주식회사 경희궁점,197465.223921125,452366.613899898
PHMH320223000034087500005,영업/정상,서울특별시 종로구 평창문화로 140 상가동 지층 12호 (평창동 롯데아파트낙천대),씨유(CU) 평창낙천대점,197783.155321969,456311.979491953
PHMH320223000034087500002,영업/정상,서울특별시 종로구 청계천로 295 가동 1층 나열 16호17호 (창신동),세븐일레븐 종로신협점,200870.466483008,451975.759124436
PHMH320223000034087500003,영업/정상,서울특별시 종로구 창의문로 147(부암동),세븐일레븐 종로부암점,196731.050059844,454499.411625227
PHMH320223000034087500004,영업/정상,서울특별시 종로구 북촌로5길 4(재동),(주)코리아세븐 종로재동점,198582.836097291,453024.018206079
PHMH320203000034087500009,영업/정상,서울특별시 종로구 돈화문로 41 금성빌딩 1층 (묘동),씨유 종로묘동점,199176.942185593,452210.348221407
PHMH320223080033087500007,영업/정상,서울특별시 강북구 덕릉로40길 18 1층 (번동),지에스(GS)25 강북최고점,202614.011916483,459104.631098606
PHMH320203000034087500004,영업/정상,서울특별시 종로구 세종대로 지하 189 세종로지하주차장 B1층 7호 (세종로),(주)러브플라워닷컴,197802.707703087,452342.759828651
PHMH320203000034087500002,영업/정상,서울특별시 종로구 삼봉로 57 호수빌딩 1층 102호 (수송동),씨유 종로구청점,198205.621520751,452254.217603167
PHMH320203000034087500008,영업/정상,서울특별시 종로구 숭인동1길 8-1 1층 101호 (숭인동),씨유숭인한양점,201823.19513455,452717.786650663
PHMH320203000034087500007,영업/정상,서울특별시 종로구 지봉로 43 105호 (창신동),GS25 창신점,201295.197344796,452425.608757447
PHMH320223000034087500001,영업/정상,서울특별시 종로구 혜화로 47(명륜1가),씨유(CU) 혜화한아름,199835.179461812,454150.259586815
PHMH320203000034087500016,영업/정상,서울특별시 종로구 창경궁로 112-11 재림빌딩 1층 (인의동),GS25 혜화경찰서점,199794.789138358,452254.719806799
PHMH320203000034087500015,영업/정상,서울특별시 종로구 대학로11길 29 (명륜4가),(주)코리아세븐 명륜카페점,199922.805006709,453308.051718024
PHMH320223200033087500021,영업/정상,서울특별시 관악구 난곡로 292 1층 (신림동),지에스25 신림센트럴점,192424.755794026,441984.500210595
PHMH320223060034087500013,영업/정상,서울특별시 중랑구 용마산로139가길 16 1층 (신내동),씨유신내IC점,208867.971587228,456998.820824509
PHMH320203000034087500014,영업/정상,서울특별시 종로구 율곡로8길 101 삼보빌딩 101호 (묘동),이마트24 종로3가점,199216.030211644,452287.079932058
